date;motif
01-oct-24;Grève interprofessionnelle (retraites, salaires)  
10-sept-24;Grève des enseignants mobilisés à Paris  
14-nov-24;Manifestation contre un gala d’extrême droite à Paris  
25-juil-24;Manifestation anti_Jeux olympiques d’été de 2024 (Paris_2024)  
21-mai-25;Mobilisation des personnels de l’enseignement agricole à Paris  
21-mai-25;Manifestation des taxis à Paris (tarifs transport sanitaire)  
22-juil-25;Manifestation à Paris contre «_génocide/famine_» à Gaza  
18-sept-25;Grève et manifestation intersyndicale à Paris  
10-mai-25;Interdiction/deux manifestations à Paris (Comité_9_mai & anti_fasciste)  
01-mai-25;Manifestation à Paris (1er_mai) pour les travailleurs/travailleuses  
